Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission
Mercedes-Benz;CLA 200;d aAHK/Voll-LED/Navi/Kamera;Sportsitze, Einparkhilfe Kamera, LED-Scheinwerfer, Sitzheizung, Navigationssystem, Alufelgen, Voll-LED Scheinwerfer, Einparkhilfe Sensoren vorne;€ 18.910,-;Guter Preis;91.100 km;Schaltgetriebe;09/2017;Diesel;100 kW (136 PS);nan;nan
Ford;Kuga;KUGA ST-LINE 4X4 AUTO PANO SONY T-WINKEL LENK-HZ;Elektrische Heckklappe, Panoramadach, Elektrische Sitze, Sportpaket, Allrad, Einparkhilfe Kamera, Apple CarPlay, Spurhalteassistent;€ 16.990,-;Sehr guter Preis;76.602 km;Automatik;11/2018;Benzin;129 kW (175 PS);9,0 l/100 km;205 g/km
Kia;Ceed SW / cee'd SW;1.6 CRDi +Navi+Parksensoren+Sitzheizung;USB, Ambientebeleuchtung, Navigationssystem, Alufelgen, Einparkhilfe Kamera, Sitzheizung, Beheizbares Lenkrad, Pannenkit;€ 10.990,-;Sehr guter Preis;86.198 km;Schaltgetriebe;01/2017;Diesel;100 kW (136 PS);nan;nan
Renault;ZOE;41kwh Elektro Life*RFK*SHZ*Navi*;Sitzheizung, Isofix, Bluetooth, Alufelgen, Geschwindigkeits-begrenzungsanlage, Fahrerairbag, Einparkhilfe Sensoren hinten, Verkehrszeichenerkennung; ;nan;nan;nan;nan;Elektro;nan;nan;nan
Dacia;Duster;II Comfort *NAVI-KLIMA-PDC-TEMPOMAT*;FINANZIERUNG 1088€ mtl. / ANKAUF / LIEFERUNG;€ 10.880,-;Sehr guter Preis;69.969 km;Schaltgetriebe;01/2019;Benzin;84 kW (114 PS);6,5 l/100 km;149 g/km
Citroen;C4 Cactus;PureTech 110 EAT6 Shine SHZ GJR Grip-Control Drive;Einparkhilfe Kamera, Sitzheizung, Android Auto, Regensensor, Klimaautomatik, Fahrerairbag, Alufelgen, Touchscreen;€ 12.490,-;Sehr guter Preis;81.500 km;Automatik;01/2019;Benzin;81 kW (110 PS);6,7 l/100 km;150 g/km
Mazda;CX-5;Exclusive-Line*LED*Parkpilot*SHZ*Navi*Kamera*uvm.;LED-Scheinwerfer, Beheizbares Lenkrad, Sitzheizung, E10-geeignet, Head-up display, Navigationssystem, Kurvenlicht, Lordosenstütze;€ 18.980,-;Guter Preis;59.986 km;Schaltgetriebe;11/2017;Benzin;121 kW (165 PS);6,4 l/100 km;149 g/km
Mercedes-Benz;GLC 250;d AMG Line 4Matic;Beifahrerairbag, Schiebedach, Sportfahrwerk, Sitzheizung, Sprachsteuerung, Soundsystem, Allrad, Elektrische Heckklappe;€ 21.990,-;Sehr guter Preis;179.181 km;Automatik;05/2018;Diesel;150 kW (204 PS);nan;nan
BAIC;;210T LED+PDC+KLIMA+BLUETOOTH+EU6+1Hd;Lordosenstütze, Fahrerairbag, Elektronische Parkbremse, Alufelgen, LED-Scheinwerfer, Berganfahrassistent, Klimaanlage, LED-Tagfahrlicht;€ 16.449,-;Sehr guter Preis;3.750 km;Schaltgetriebe;10/2024;Benzin;100 kW (136 PS);nan;198 g/km
Toyota;Yaris;1.5 Edition-S Hybrid KLIMA SHZ KAMERA;Alufelgen, Sitzheizung, Klimaautomatik, Elektr. Fensterheber, Spurhalteassistent, Katalysator, Touchscreen, Pannenkit; ;nan;nan;nan;nan;nan;nan;nan;nan
Hyundai;i20;Select;Sitzheizung, Einparkhilfe Kamera, Navigationssystem, Alufelgen, Touchscreen, Beheizbares Lenkrad, Elektr. Fensterheber, teilb. Rücksitzbank;€ 13.990,-;Sehr guter Preis;36.400 km;Schaltgetriebe;12/2021;Benzin;74 kW (101 PS);5,6 l/100 km;127 g/km
Mercedes-Benz;GLA 200;NIGHTPAKET 360GRAD,METALLIC,PANORAMA,18Z;360° Kamera, LED-Scheinwerfer, Fahrerairbag, Sportsitze, Beifahrerairbag, Anhängerkupplung, Sitzheizung, Isofix;€ 19.880,-;Sehr guter Preis;86.451 km;Automatik;06/2018;Benzin;115 kW (156 PS);6,6 l/100 km;151 g/km
Fiat;500;1,2 Lounge/Klima/Android/Carplay;Apple CarPlay, Alufelgen, Nebelscheinwerfer, Einparkhilfe Sensoren hinten, Multifunktionslenkrad, Bluetooth, Freisprecheinrichtung, Navigationssystem;€ 8.590,-;Sehr guter Preis;73.000 km;Schaltgetriebe;02/2020;Benzin;51 kW (69 PS);5,5 l/100 km;126 g/km
Citroen;Berlingo;1.2 PureTech 110 Feel M;Klimaautomatik, Sitzheizung, Navigation, PDC;€ 15.890,-;Sehr guter Preis;60.366 km;Schaltgetriebe;08/2019;Benzin;81 kW (110 PS);nan;nan
Renault;Kadjar;1.5 dCi 110 Bose Edition ENERGY;Sitzheizung, LED-Scheinwerfer, Beifahrerairbag, Isofix, Verkehrszeichenerkennung, Navigationssystem, Alufelgen, Geschwindigkeits-begrenzungsanlage;€ 10.990,-;Sehr guter Preis;150.000 km;Automatik;08/2016;Diesel;81 kW (110 PS);nan;nan
Mercedes-Benz;GLA 200;NIGHTPAKET 360GRAD,METALLIC,PANORAMA,18Z;360° Kamera, LED-Scheinwerfer, Fahrerairbag, Sportsitze, Beifahrerairbag, Anhängerkupplung, Sitzheizung, Isofix;€ 19.880,-;Sehr guter Preis;86.451 km;Automatik;06/2018;Benzin;115 kW (156 PS);6,6 l/100 km;151 g/km
Fiat;500;1,2 Lounge/Klima/Android/Carplay;Apple CarPlay, Alufelgen, Nebelscheinwerfer, Einparkhilfe Sensoren hinten, Multifunktionslenkrad, Bluetooth, Freisprecheinrichtung, Navigationssystem;€ 8.590,-;Sehr guter Preis;73.000 km;Schaltgetriebe;02/2020;Benzin;51 kW (69 PS);5,5 l/100 km;126 g/km
Citroen;Berlingo;1.2 PureTech 110 Feel M;Klimaautomatik, Sitzheizung, Navigation, PDC;€ 15.890,-;Sehr guter Preis;60.366 km;Schaltgetriebe;08/2019;Benzin;81 kW (110 PS);nan;nan
Volkswagen;Arteon;"Eleg TDI DSG 4-m Standh Assist AHK SD 19""";Finanzierung ohne Anzahlung bis 96 Monate Laufzeit;€ 24.990,-;Sehr guter Preis;119.500 km;Automatik;10/2017;Diesel;176 kW (239 PS);5,9 l/100 km;152 g/km
Ford;S-Max;Titanium 2.0 TDCi Navi, elekt Heckklappe;Beheizbare Frontscheibe, Anhängerkupplung, Navigationssystem, Alufelgen, Elektrische Heckklappe, Spurhalteassistent, MP3, Beifahrerairbag;€ 18.890,-;Sehr guter Preis;61.950 km;Schaltgetriebe;11/2017;Diesel;110 kW (150 PS);nan;nan
BMW;530;Limousine Aut. NAV+LED+SHZ+ACC+HiFi+EU6+2Hd;Elektrische Sitze, Soundsystem, Elektr. Fensterheber, Schlüssellose Zentralverriegelung, Abstandstempomat, Getönte Scheiben, Alufelgen, Beifahrerairbag;€ 23.989,-;Sehr guter Preis;144.750 km;Automatik;04/2017;Diesel;195 kW (265 PS);4,5 l/100 km;nan
Volkswagen;Polo;1.2 TSI Comfortline BMT*PDC*KLIMA*;❗Service Historie und Gebrauchtspureninfos auf Anruf;€ 10.740,-;Sehr guter Preis;36.531 km;Schaltgetriebe;01/2017;Benzin;66 kW (90 PS);4,7 l/100 km;107 g/km
Ford;Ka/Ka+;Cool & Sound;E10-geeignet, Alufelgen, Sitzheizung, Elektrische Seitenspiegel, Einparkhilfe Sensoren hinten, Seitenairbag, ABS, Wegfahrsperre;€ 8.450,-;Guter Preis;76.000 km;Schaltgetriebe;08/2017;Benzin;63 kW (86 PS);5,0 l/100 km;114 g/km
Kia;Picanto;1.2 Aut. GT-Line *Navi*Kamera*App*;Navigationssystem, Sportsitze, Sportfahrwerk, Sitzheizung, Alufelgen, Einparkhilfe Kamera, LED-Tagfahrlicht, Induktionsladen für Smartphones;€ 13.880,-;Guter Preis;21.008 km;Automatik;04/2017;Benzin;62 kW (84 PS);nan;124 g/km
Skoda;Karoq;Navi,Winterpaket,Tempomat,AHK,R.Kamera;Anhängerkupplung, Beheizbares Lenkrad, Beifahrerairbag, Alufelgen, Elektrische Heckklappe, Armlehne, Navigationssystem, Beheizbare Frontscheibe;€ 17.900,-;Sehr guter Preis;96.000 km;Automatik;08/2019;Diesel;85 kW (116 PS);nan;nan
Kia;Carens;Dream Team/Mfl/Navi/Shz/Navi/7-Sitzer/;Navigationssystem, Wegfahrsperre, Sitzheizung, Alufelgen, Sprachsteuerung, Dachreling, Beifahrerairbag, Einparkhilfe Kamera;€ 12.990,-;Sehr guter Preis;77.383 km;Schaltgetriebe;04/2018;Benzin;99 kW (135 PS);6,5 l/100 km;150 g/km
Mazda;6;Kom 2.2d Aut Exclusive-Line MATRIX+NAV+KAM+ACC;LED-Scheinwerfer, Apple CarPlay, Einparkhilfe Kamera, ABS, Einparkhilfe Sensoren vorne, Sitzheizung, DAB-Radio, Beheizbares Lenkrad;€ 15.750,-;Sehr guter Preis;120.000 km;Automatik;07/2020;Diesel;110 kW (150 PS);5,1 l/100 km;134 g/km
Skoda;Octavia;2.0 TDI Style DSG Navi ViCo Pano LED ACC;Herr Hans Atzberger und die Premiumfahrzeuge in Bayern!;€ 12.900,-;Guter Preis;191.662 km;Automatik;12/2019;Diesel;110 kW (150 PS);nan;nan
Mercedes-Benz;C 400;Coupe 4Matic AMG Line PANO NIGHT TEMPOMAT;Sportpaket, Getönte Scheiben, Soundsystem, Sitzheizung, Sportfahrwerk, Bluetooth, Multifunktionslenkrad, Freisprecheinrichtung;€ 28.420,-;Fairer Preis;134.000 km;Automatik;08/2016;Benzin;245 kW (333 PS);nan;nan
Skoda;Rapid/Spaceback;RAPID SPACEBACK COOL EDITION KLIMA+ALLWETTER+TÜV;Allwetterbereifung,Einparkhilfe,Isofix,Reg.Wartung;€ 9.480,-;Fairer Preis;108.400 km;Schaltgetriebe;12/2017;Benzin;70 kW (95 PS);4,4 l/100 km;101 g/km
Opel;Adam;Open Air ecoFlex 1.0 Turbo Klima-A. SHZ LHZ PDC hi;Sitzheizung, Navigationssystem, LED-Tagfahrlicht, Alufelgen, Katalysator, Apple CarPlay, Klimaautomatik, Android Auto;€ 12.990,-;Sehr guter Preis;36.991 km;Schaltgetriebe;06/2018;Benzin;85 kW (116 PS);nan;nan
Hyundai;TUCSON;"1.6i 4WD Aut 25 Ja PANO+NAV+KAM+LEDER+19""";Schiebedach, Reifendruckkontrollsystem, Allrad, Sportpaket, LED-Scheinwerfer, Anhängerkupplung, Navigationssystem, Beifahrerairbag;€ 14.950,-;Fairer Preis;154.886 km;Automatik;03/2017;Benzin;130 kW (177 PS);7,6 l/100 km;177 g/km
Opel;Mokka X;1.6 CDTI Automatik Navi Color Innovation;Einparkhilfe Kamera, Sommerreifen, Einparkhilfe Sensoren vorne, Sitzheizung, LED-Scheinwerfer, Alufelgen, Kurvenlicht, Navigationssystem;€ 10.880,-;Sehr guter Preis;101.266 km;Automatik;06/2017;Diesel;100 kW (136 PS);nan;nan
Ford;EcoSport;Titanium *Winter-Pkt*Klimaauto*GJR*;Einparkhilfe Kamera, E10-geeignet, Sitzheizung, Totwinkel-Assistent, Lordosenstütze, Dachreling, Einparkhilfe Sensoren vorne, Alufelgen;€ 14.673,-;Sehr guter Preis;31.666 km;Schaltgetriebe;12/2020;Benzin;92 kW (125 PS);6,2 l/100 km;142 g/km
Ford;Ranger;2.2 TDC  XLT Extrakabine 4x4;Alufelgen, Anhängerkupplung, Beifahrerairbag, Allrad, Freisprecheinrichtung, Nebelscheinwerfer, Traktionskontrolle, Lichtsensor;€ 18.900,-;nan;19.143 km;Schaltgetriebe;06/2019;Diesel;118 kW (160 PS);7,0 l/100 km;184 g/km
Ford;Mustang;GT 5.0 SHELBY GT500 KAMEAR LEDER TOP;Alarmanlage, Sportpaket, Apple CarPlay, Beifahrerairbag, Soundsystem, W-Lan / Wifi Hotspot, Getönte Scheiben, Einparkhilfe Kamera;€ 33.999,-;Sehr guter Preis;63.609 km;Automatik;06/2017;Benzin;324 kW (441 PS);nan;nan
Renault;Kadjar;TCe 140 GPF LIMITED;Klimaautomatik, Einparkhilfe Sensoren vorne, Sitzheizung, Beifahrerairbag, Nebelscheinwerfer, E10-geeignet, DAB-Radio, Winterpaket;€ 16.490,-;Sehr guter Preis;52.000 km;Automatik;09/2020;Benzin;103 kW (140 PS);6,8 l/100 km;155 g/km
Ford;Kuga;Titanium *TURBO NEU*AHK*ACC*BI-XENON*NAVI*;Getönte Scheiben, Navigationssystem, LED-Tagfahrlicht, Alufelgen, Freisprecheinrichtung, Allrad, USB, Bluetooth;€ 13.899,-;Fairer Preis;95.560 km;Automatik;08/2017;Benzin;134 kW (182 PS);7,5 l/100 km;173 g/km
Volkswagen;Golf;VII Variant 1.6 TDI BMT / NAVI / PDC / SHZ;Fahrerairbag, Navigationssystem, Einparkhilfe Sensoren vorne, Sitzheizung, Touchscreen, Start/Stop-Automatik, Tempomat, Beifahrerairbag;€ 9.990,-;Guter Preis;187.676 km;Automatik;03/2016;Diesel;81 kW (110 PS);4,0 l/100 km;104 g/km
Opel;Mokka;1.2 Turbo GS Line;Navigationssystem, Nebelscheinwerfer, Abstandstempomat, Sitzheizung, Totwinkel-Assistent, Einparkhilfe Kamera, Android Auto, Induktionsladen für Smartphones;€ 16.200,-;Sehr guter Preis;57.100 km;Schaltgetriebe;07/2021;Benzin;96 kW (131 PS);nan;nan
Volkswagen;Passat;Var.R-Line 2,0TDI aAHK/Voll-LED/Navi;Einparkhilfe Sensoren vorne, 3-Zonen-Klimaautomatik, Abstandstempomat, Anhängerkupplung, Sitzheizung, MP3, LED-Scheinwerfer, Bluetooth;€ 13.910,-;Fairer Preis;172.300 km;Schaltgetriebe;09/2018;Diesel;110 kW (150 PS);nan;nan
Fiat;500X;1.4 MultiAir Cross Plus 4x4 Top Ausstattung 125...;Sonderzinstage bei Autoflex24 eff. Zins ab 2,22 %;€ 18.900,-;nan;0 km;Automatik;05/2018;Benzin;125 kW (170 PS);nan;157 g/km
Opel;Astra;K SPORTS TOURER Edition/AUT/NAVI/PDC/SHZ;Sportfahrwerk, Musikstreaming integriert, Sitzheizung, ABS, Sportpaket, LED-Scheinwerfer, Einparkhilfe Sensoren vorne, Elektrische Seitenspiegel;€ 12.790,-;Sehr guter Preis;90.500 km;Automatik;07/2021;Diesel;90 kW (122 PS);5,1 l/100 km;132 g/km
Opel;Grandland;1.6 D Edition *LED*FLA*AkustikGlas*AUT;Sitzheizung, Totwinkel-Assistent, Bluetooth, Alufelgen, Einparkhilfe Kamera, Android Auto, Einparkhilfe Sensoren vorne, Klimaanlage;€ 15.493,-;Guter Preis;63.198 km;Automatik;08/2018;Diesel;88 kW (120 PS);nan;nan
Honda;HR-V;1.5VTEC Comfort+KLIMA+TEMPO+BLUETOOTH+SHZ;Alufelgen, Zentralverriegelung, Sitzheizung, Katalysator, Bluetooth, MP3, Klimaautomatik, Fahrerairbag;€ 12.990,-;Fairer Preis;81.824 km;Schaltgetriebe;02/2016;Benzin;96 kW (131 PS);nan;nan
Volkswagen;Polo;1.8TSI GTI PANO PARK KLIMA SHZ NAV;Panoramadach, Sportfahrwerk, Navigationssystem, Schiebedach, Einparkhilfe Sensoren vorne, Sportsitze, Fahrerairbag, Alufelgen;€ 13.999,-;Guter Preis;88.300 km;Schaltgetriebe;05/2017;Benzin;141 kW (192 PS);6,0 l/100 km;140 g/km
smart;forFour;EQ  Autom-Klima 700Km  OHNE ELEKTRO BATTERIE;Alufelgen, Winterpaket, Klimaautomatik, Touchscreen, Freisprecheinrichtung, teilb. Rücksitzbank, Beifahrerairbag, Elektrische Seitenspiegel; ;nan;nan;nan;nan;nan;nan;nan;nan
Skoda;Kodiaq;2.0 TDI STYLE 4x4 Pano e-Sitze Family;Skoda Kodiaq 2.0 TDi 140kW 4x4 STYLE mit EZ 04.07.;€ 23.860,-;Fairer Preis;133.534 km;Automatik;07/2018;Diesel;140 kW (190 PS);nan;nan
Hyundai;i30;1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP;Lordosenstütze, Einparkhilfe Sensoren vorne, Einparkhilfe Kamera, Sitzheizung, Induktionsladen für Smartphones, 2-Zonen-Klimaautomatik, Alufelgen, Fernlichtassistent;€ 15.990,-;Sehr guter Preis;28.170 km;Schaltgetriebe;01/2022;Benzin;88 kW (120 PS);5,0 l/100 km;115 g/km
Mercedes-Benz;A 180;d NIGHTPAKET,PANORAMA,KAMERA,SCHECKHEFT;Panoramadach, Sportsitze, Einparkhilfe Sensoren vorne, Sitzheizung, Alufelgen, Schiebedach, Navigationssystem, Isofix;€ 17.780,-;Guter Preis;65.500 km;Automatik;04/2016;Diesel;80 kW (109 PS);3,9 l/100 km;103 g/km
Dacia;Logan;MCV II Kombi Laureate*AUTOM.*NAVI*TÜV NEU*;Klimaanlage, Alufelgen, Anhängerkupplung, Beifahrerairbag, Elektrische Seitenspiegel, Tempomat, Navigationssystem, Getönte Scheiben;€ 6.900,-;Guter Preis;157.000 km;Automatik;07/2017;Diesel;66 kW (90 PS);3,6 l/100 km;92 g/km
Toyota;C-HR;1.2 Urban +RFK+Spurh.+Hold+;Navigationssystem, Einparkhilfe Kamera, Abstandstempomat, Verkehrszeichenerkennung, Fahrerairbag, Pannenkit, Schlüssellose Zentralverriegelung, Beifahrerairbag;€ 15.888,-;Sehr guter Preis;66.350 km;Schaltgetriebe;08/2018;Benzin;116 kW (158 PS);5,9 l/100 km;135 g/km
Ford;Tourneo Custom;"2,0TDCI""Titanium""2Schiebetüren""9Sitze""";Einparkhilfe Kamera, Radio, Beifahrerairbag, Schiebetür links, Alufelgen, Getönte Scheiben, Isofix, Abstandstempomat;€ 19.990,-;nan;120.000 km;Automatik;06/2017;Diesel;125 kW (170 PS);nan;nan
Opel;Corsa;1.2  Kamera LHZ Allwetter PDC SHZ;Klimaautomatik, Sitzheizung, Einparkhilfe Kamera, Einparkhilfe Sensoren vorne, Alufelgen, Beheizbares Lenkrad, Totwinkel-Assistent, Sprachsteuerung;€ 13.990,-;Sehr guter Preis;20.274 km;Schaltgetriebe;04/2022;Benzin;74 kW (101 PS);5,5 l/100 km;124 g/km
Opel;Insignia;ST OPC UNLIMITED 2.8 V6 4x4, AHK, Pano, BOSE, ACC;Innenspiegel automatisch abblendend, Tempomat, Sportfahrwerk, Apple CarPlay, Klimaanlage, Sommerreifen, Panoramadach, Touchscreen;€ 14.980,-;Sehr guter Preis;127.600 km;Automatik;01/2017;Benzin;239 kW (325 PS);11,0 l/100 km;253 g/km
Renault;Kadjar;Energy TCe 165 Crossborder;LED-Scheinwerfer, Sitzheizung, Elektrische Sitze, Abstandstempomat, Sommerreifen, Beifahrerairbag, Navigationssystem, Winterpaket;€ 13.980,-;Sehr guter Preis;77.279 km;Schaltgetriebe;09/2017;Benzin;120 kW (163 PS);nan;nan
Opel;Grandland X;Selection;Verkehrszeichenerkennung, Elektronische Parkbremse, USB, Reifendruckkontrollsystem, E10-geeignet, Freisprecheinrichtung, Berganfahrassistent, Zentralverriegelung;€ 11.990,-;Sehr guter Preis;88.000 km;Schaltgetriebe;02/2018;Benzin;96 kW (131 PS);5,4 l/100 km;124 g/km
Volkswagen;Golf;VII Comf. 1.6 TDI 1.Hd*Navi*ACC*PDC*AHK;Apple CarPlay, MP3, Alufelgen, Einparkhilfe Sensoren vorne, Lordosenstütze, LED-Tagfahrlicht, Abstandstempomat, Pannenkit;€ 11.990,-;Guter Preis;146.000 km;Schaltgetriebe;11/2017;Diesel;85 kW (116 PS);nan;nan
Opel;Mokka X;1.6 CDTI Automatik Navi Color Innovation;Einparkhilfe Kamera, Sommerreifen, Einparkhilfe Sensoren vorne, Sitzheizung, LED-Scheinwerfer, Alufelgen, Kurvenlicht, Navigationssystem;€ 10.880,-;Sehr guter Preis;101.266 km;Automatik;06/2017;Diesel;100 kW (136 PS);nan;nan
BMW;118;i Advantage*LED*NAVI*PDC*SHZ*TEMPO*KLIMA*;❗Service Historie und Gebrauchtspureninfos auf Anruf;€ 15.620,-;Sehr guter Preis;47.714 km;Schaltgetriebe;06/2019;Benzin;100 kW (136 PS);5,9 l/100 km;171 g/km
Volkswagen;T-Roc;Style 1.0 TSI NAVI+SITZHZ+ACC+RFK+KLIMA Klima;Navigationssystem, Abstandstempomat, LED-Scheinwerfer, Sitzheizung, E10-geeignet, Regensensor, Einparkhilfe Kamera, Elektrische Heckklappe;€ 17.890,-;Sehr guter Preis;14.500 km;Schaltgetriebe;05/2019;Benzin;85 kW (116 PS);6,4 l/100 km;145 g/km
Audi;Q5;2.0d Quatt Design MATRIX+VIRTU+NAV+KAM+ACC+SH;Sportpaket, Volldigitales Kombiinstrument, 3-Zonen-Klimaautomatik, Allrad, Bluetooth, Einparkhilfe Kamera, Schaltwippen, Apple CarPlay;€ 21.250,-;Sehr guter Preis;161.231 km;Automatik;09/2017;Diesel;120 kW (163 PS);5,0 l/100 km;129 g/km
Land Rover;Discovery Sport;SE AWD;Sitzheizung, Winterpaket, Allrad, Einparkhilfe Sensoren hinten, Navigationssystem, Schlüssellose Zentralverriegelung, Freisprecheinrichtung, LED-Tagfahrlicht;€ 16.500,-;Sehr guter Preis;119.540 km;Automatik;05/2017;Diesel;132 kW (179 PS);5,3 l/100 km;139 g/km
Volkswagen;Touran;Comfortline 2.0 TDI DSG LED KAMERA ALU APS SITZHZG;LED-Scheinwerfer, Einparkhilfe Kamera, Einparkhilfe Sensoren vorne, Getönte Scheiben, Sitzheizung, Dachreling, Kurvenlicht, Alufelgen;€ 12.988,-;Sehr guter Preis;228.600 km;Automatik;08/2020;Diesel;110 kW (150 PS);5,6 l/100 km;1 g/km
Mercedes-Benz;E 200;d T 9G BURMESTER+COMAND+KAM+LED+SHZ+DAB+TEM;Einparkhilfe Kamera, Sportfahrwerk, LED-Scheinwerfer, Apple CarPlay, Totwinkel-Assistent, Elektrische Heckklappe, Navigationssystem, Verkehrszeichenerkennung;€ 15.550,-;Guter Preis;200.000 km;Automatik;02/2018;Diesel;110 kW (150 PS);4,2 l/100 km;109 g/km
Mazda;CX-5;2.0 Sports-Line AWD*NAVI*ACC*PDC*SHZ*LED*ALU*;❗Service Historie und Gebrauchtspureninfos auf Anruf;€ 19.870,-;Sehr guter Preis;38.917 km;Schaltgetriebe;10/2017;Benzin;118 kW (160 PS);6,8 l/100 km;159 g/km
Mazda;2;;Über 1000 Fahrzeuge auf Lager und sofort verfügbar !!!;€ 10.990,-;Sehr guter Preis;54.900 km;Schaltgetriebe;03/2018;Benzin;66 kW (90 PS);4,5 l/100 km;105 g/km
Audi;A4;Avant 40 TDI Sport Xenon/Navi/Kamera/AHK/Temp;Sportfahrwerk, Sportpaket, Einparkhilfe Kamera, Sportsitze, Ambientebeleuchtung, Lederlenkrad, Anhängerkupplung, Schlüssellose Zentralverriegelung;€ 18.790,-;Sehr guter Preis;121.249 km;Automatik;03/2019;Diesel;140 kW (190 PS);4,6 l/100 km;121 g/km
Volkswagen;up!;1.0  move Klima+Sitzheizung;Sitzheizung, Klimaautomatik, Raucherpaket, Pannenkit, Lederlenkrad, MP3, teilb. Rücksitzbank, Multifunktionslenkrad;€ 6.480,-;Sehr guter Preis;129.980 km;Schaltgetriebe;05/2017;Benzin;44 kW (60 PS);nan;nan
Ford;Tourneo Custom;"2,0TDCI""Titanium""2Schiebetüren""9Sitze""";Einparkhilfe Kamera, Radio, Beifahrerairbag, Schiebetür links, Alufelgen, Getönte Scheiben, Isofix, Abstandstempomat;€ 19.990,-;nan;120.000 km;Automatik;06/2017;Diesel;125 kW (170 PS);nan;nan
Volkswagen;Passat Variant;Passat Var. DSG ACC Kamera Navi AHK LED Tempomat;Finanzierung OHNE Anzahlung möglich!;€ 14.940,-;Sehr guter Preis;133.600 km;Automatik;08/2019;Diesel;88 kW (120 PS);4,3 l/100 km;112 g/km
Volkswagen;Caddy;Alltrack 4x4*Behindertengerecht am Lenkrad;Behindertengerecht, Allrad, Schiebetür links, Schiebetür rechts, Sitzheizung, Standheizung, Beifahrerairbag, Isofix;€ 14.900,-;nan;246.767 km;Automatik;02/2019;Diesel;110 kW (150 PS);5,6 l/100 km;148 g/km
Mercedes-Benz;CLA 220;CDI Limo 7G-DCT Urban+LED+NAVI+PANO;Schiebedach, Einparkhilfe Kamera, Sportsitze, LED-Scheinwerfer, Getönte Scheiben, Klimaautomatik, Ambientebeleuchtung, Einparkhilfe Sensoren vorne;€ 19.999,-;Sehr guter Preis;154.191 km;Automatik;03/2018;Diesel;130 kW (177 PS);nan;nan
Opel;Corsa;Innovation*XENON*PDC*TEMPOMAT*LENKRADHZG;Alufelgen, Einparkhilfe Sensoren hinten, Beheizbares Lenkrad, Sitzheizung, Bordcomputer, Beifahrerairbag, Xenonscheinwerfer, Nebelscheinwerfer;€ 9.900,-;Sehr guter Preis;86.213 km;Automatik;01/2018;Benzin;66 kW (90 PS);nan;nan
Opel;Insignia;ST AUTOMATIK*OPC-PA*BUSINESS*INNOVATION;Sportfahrwerk, Sitzbelüftung, Head-up display, Elektrische Sitze, Massagesitze, Volldigitales Kombiinstrument, Einparkhilfe Kamera, Schaltwippen;€ 17.490,-;Sehr guter Preis;91.000 km;Automatik;03/2018;Diesel;125 kW (170 PS);5,7 l/100 km;150 g/km
DS Automobiles;DS 7 Crossback;BusinessLine 2.0HDI*Pano*LED*FOCAL;Sommerreifen, Panoramadach, Volldigitales Kombiinstrument, Elektrische Sitze, LED-Scheinwerfer, Apple CarPlay, Spurhalteassistent, Lederlenkrad;€ 17.990,-;Sehr guter Preis;149.654 km;Automatik;07/2018;Diesel;132 kW (179 PS);4,9 l/100 km;128 g/km
Mercedes-Benz;GLA 200;NIGHTPAKET 360GRAD,METALLIC,PANORAMA,18Z;360° Kamera, LED-Scheinwerfer, Fahrerairbag, Sportsitze, Beifahrerairbag, Anhängerkupplung, Sitzheizung, Isofix;€ 19.880,-;Sehr guter Preis;86.451 km;Automatik;06/2018;Benzin;115 kW (156 PS);6,6 l/100 km;151 g/km
Dacia;Duster;Prestige dCi110 4x4 ALLRAD LEDER/KAMERA;Allrad, Einparkhilfe Kamera, Alufelgen, Sitzheizung, Dachreling, Navigationssystem, Klimaanlage, Geschwindigkeits-begrenzungsanlage;€ 12.000,-;Sehr guter Preis;122.479 km;Schaltgetriebe;01/2018;Diesel;80 kW (109 PS);nan;nan
Skoda;Superb;Combi Style 2.0 TDI DSG AHK EXPORT;Elektrische Sitze, Alufelgen, Apple CarPlay, Bi-Xenon Scheinwerfer, Sitzheizung, Beifahrerairbag, USB, Elektrische Seitenspiegel;€ 14.900,-;Sehr guter Preis;157.900 km;Automatik;04/2017;Diesel;140 kW (190 PS);4,5 l/100 km;114 g/km
Peugeot;2008;1.2 PureTech 110 Signature;Panoramadach, Dachreling, Sitzheizung, Regensensor, Tempomat, Freisprecheinrichtung, Isofix, USB;€ 11.950,-;Sehr guter Preis;40.300 km;Schaltgetriebe;10/2019;Benzin;81 kW (110 PS);nan;nan
Dodge;RAM;"1500 Hemi ""Höher""Breiter""ein Monster""";Laserlicht, Beheizbares Lenkrad, Sitzbelüftung, Allrad, Schiebedach, Fahrerairbag, Sitzheizung, Spoiler;€ 45.000,-;Fairer Preis;115.000 km;Automatik;01/2018;Benzin;295 kW (401 PS);nan;nan
Audi;A6;35 TDI VIRTUAL/LEDER/SPORT;Sportpaket, LED-Scheinwerfer, Volldigitales Kombiinstrument, Einparkhilfe Kamera, Ambientebeleuchtung, Elektrische Heckklappe, Elektrische Sitze, Alufelgen;€ 23.500,-;Sehr guter Preis;151.700 km;Automatik;03/2020;Diesel;120 kW (163 PS);4,3 l/100 km;112 g/km
